unit_code,unit_name,unit_name_combined
ABLI,Abraham Lincoln Birthplace National Historical Park,Abraham Lincoln Birthplace National Historical Park (ABLI)
ACAD,Acadia National Park,Acadia National Park (ACAD)
ADAM,Adams National Historical Park,Adams National Historical Park (ADAM)
AFBG,African Burial Ground National Monument,African Burial Ground National Monument (AFBG)
AGFO,Agate Fossil Beds National Monument,Agate Fossil Beds National Monument (AGFO)
ALKA,Ala Kahakai National Historic Trail,Ala Kahakai National Historic Trail (ALKA)
ALAG,Alagnak Wild River,Alagnak Wild River (ALAG)
ALFL,Alibates Flint Quarries National Monument,Alibates Flint Quarries National Monument (ALFL)
ALPO,Allegheny Portage Railroad National Historic Site,Allegheny Portage Railroad National Historic Site (ALPO)
AMCH,Amache National Historic Site,Amache National Historic Site (AMCH)
AMME,American Memorial Park,American Memorial Park (AMME)
AMIS,Amistad National Recreation Area,Amistad National Recreation Area (AMIS)
ANDE,Andersonville National Historic Site,Andersonville National Historic Site (ANDE)
ANJO,Andrew Johnson National Historic Site,Andrew Johnson National Historic Site (ANJO)
ANIA,Aniakchak National Preserve and Monument,Aniakchak National Preserve and Monument (ANIA)
ANTI,Antietam National Battlefield,Antietam National Battlefield (ANTI)
APIS,Apostle Islands National Lakeshore,Apostle Islands National Lakeshore (APIS)
APPA,Appalachian National Scenic Trail,Appalachian National Scenic Trail (APPA)
APCO,Appomattox Court House National Historical Park,Appomattox Court House National Historical Park (APCO)
ARCH,Arches National Park,Arches National Park (ARCH)
ARPO,Arkansas Post National Memorial,Arkansas Post National Memorial (ARPO)
ARHO,"Arlington House, The Robert E. Lee Memorial","Arlington House, The Robert E. Lee Memorial (ARHO)"
ASIS,Assateague Island National Seashore,Assateague Island National Seashore (ASIS)
AZRU,Aztec Ruins National Monument,Aztec Ruins National Monument (AZRU)
BADL,Badlands National Park,Badlands National Park (BADL)
BAND,Bandelier National Monument,Bandelier National Monument (BAND)
BEPA,Belmont-Paul Women's Equality National Monument,Belmont-Paul Women's Equality National Monument (BEPA)
BEOL,Bent's Old Fort National Historic Site,Bent's Old Fort National Historic Site (BEOL)
BELA,Bering Land Bridge National Preserve,Bering Land Bridge National Preserve (BELA)
BIBE,Big Bend National Park,Big Bend National Park (BIBE)
BICY,Big Cypress National Preserve,Big Cypress National Preserve (BICY)
BIHO,Big Hole National Battlefield,Big Hole National Battlefield (BIHO)
BISO,Big South Fork National River and Recreation Area,Big South Fork National River and Recreation Area (BISO)
BITH,Big Thicket National Preserve,Big Thicket National Preserve (BITH)
BICA,Bighorn Canyon National Recreation Area,Bighorn Canyon National Recreation Area (BICA)
BICR,Birmingham Civil Rights National Monument,Birmingham Civil Rights National Monument (BICR)
BISC,Biscayne National Park,Biscayne National Park (BISC)
BLCA,Black Canyon of the Gunnison National Park,Black Canyon of the Gunnison National Park (BLCA)
BLRV,Blackstone River Valley National Historical Park,Blackstone River Valley National Historical Park (BLRV)
BLSC,Blackwell School National Historic Site,Blackwell School National Historic Site (BLSC)
BLRI,Blue Ridge Parkway,Blue Ridge Parkway (BLRI)
BLUE,Bluestone National Scenic River,Bluestone National Scenic River (BLUE)
BOWA,Booker T. Washington National Monument,Booker T. Washington National Monument (BOWA)
BOAF,Boston African American National Historic Site,Boston African American National Historic Site (BOAF)
BOHA,Boston Harbor Islands National Recreation Area,Boston Harbor Islands National Recreation Area (BOHA)
